Rank,Player,Team(s),First,Last,Count,Player-additional
1,Bill Russell*,BOS,1957,1969,11,russebi01
2,Sam Jones*,BOS,1959,1969,10,jonessa01
3,John Havlicek*,BOS,1963,1976,8,havlijo01
,Tom Heinsohn*,BOS,1957,1965,8,heinsto01
,K.C. Jones*,BOS,1959,1966,8,joneskc01
,Tom Sanders*,BOS,1961,1969,8,sandeto01
7,Robert Horry,HOU/LAL/SAS,1994,2007,7,horryro01
,Jim Loscutoff,BOS,1957,1964,7,loscuji01
,Frank Ramsey*,BOS,1957,1964,7,ramsefr01
10,Kareem Abdul-Jabbar*,MIL/LAL,1971,1988,6,abdulka01
,Bob Cousy*,BOS,1957,1963,6,cousybo01
,Michael Jordan*,CHI,1991,1998,6,jordami01
,Scottie Pippen*,CHI,1991,1998,6,pippesc01
14,Kobe Bryant*,LAL,2000,2010,5,bryanko01
,Michael Cooper,LAL,1980,1988,5,coopemi01
,Tim Duncan*,SAS,1999,2014,5,duncati01
,Derek Fisher,LAL,2000,2010,5,fishede01
,Ron Harper,CHI/LAL,1996,2001,5,harpero01
,Magic Johnson*,LAL,1980,1988,5,johnsma02
,Steve Kerr,CHI/SAS,1996,2003,5,kerrst01
,Slater Martin*,MNL/STL,1950,1958,5,martisl01
,George Mikan*,MNL,1949,1954,5,mikange01
,Don Nelson*,BOS,1966,1976,5,nelsodo01
,Jim Pollard*,MNL,1949,1954,5,pollaji01
,Dennis Rodman*,DET/CHI,1989,1998,5,rodmade01
,Larry Siegfried,BOS,1964,1969,5,siegfla01
27,Stephen Curry,GSW,2015,2022,4,curryst01
,Manu Ginóbili*,SAS,2003,2014,4,ginobma01
,Horace Grant,CHI/LAL,1991,2001,4,grantho01
,Draymond Green,GSW,2015,2022,4,greendr01
,Gene Guarilia,BOS,1960,1963,4,guarige01
,Andre Iguodala,GSW,2015,2022,4,iguodan01
,LeBron James,MIA/CLE/LAL,2012,2020,4,jamesle01
,Vern Mikkelsen*,MNL,1950,1954,4,mikkeve01
,Shaquille O'Neal*,LAL/MIA,2000,2006,4,onealsh01
,Robert Parish*,BOS/CHI,1981,1997,4,parisro01
,Tony Parker,SAS,2003,2014,4,parketo01
,Will Perdue,CHI/SAS,1991,1999,4,perduwi01
,Kurt Rambis,LAL,1982,1988,4,rambiku01
,John Salley,DET/CHI/LAL,1989,2000,4,sallejo01
,Pep Saul,ROC/MNL,1951,1954,4,saulpe01
,Bill Sharman*,BOS,1957,1961,4,sharmbi01
,Klay Thompson,GSW,2015,2022,4,thompkl01
,Jamaal Wilkes*,GSW/LAL,1975,1985,4,wilkeja01
45,B.J. Armstrong,CHI,1991,1993,3,armstbj01
,Larry Bird*,BOS,1981,1986,3,birdla01
,Bruce Bowen,SAS,2003,2007,3,bowenbr01
,Randy Brown,CHI,1996,1998,3,brownra02
,Jud Buechler,CHI,1996,1998,3,buechju01
,Bill Cartwright,CHI,1991,1993,3,cartwbi01
,Sam Cassell,HOU/BOS,1994,2008,3,cassesa01
,Gene Conley,BOS,1959,1961,3,conlege01
,James Edwards,DET/CHI,1989,1996,3,edwarja01
,Mario Elie,HOU/SAS,1994,1999,3,eliema01
,Rick Fox,LAL,2000,2002,3,foxri01
,Devean George,LAL,2000,2002,3,georgde01
,A.C. Green,LAL,1987,2000,3,greenac01
,Danny Green,SAS/TOR/LAL,2014,2020,3,greenda02
,Bob Harrison,MNL,1950,1953,3,harribo02
,Udonis Haslem,MIA,2006,2013,3,hasleud01
,Gerald Henderson,BOS/DET,1981,1990,3,hendege01
,Dennis Johnson*,SEA/BOS,1979,1986,3,johnsde01
,James Jones,MIA/CLE,2012,2016,3,jonesja02
,Stacey King,CHI,1991,1993,3,kingst01
,Toni Kukoč*,CHI,1996,1998,3,kukocto01
,Shaun Livingston,GSW,2015,2018,3,livinsh01
,Luc Longley,CHI,1996,1998,3,longllu01
,Kevon Looney,GSW,2017,2022,3,looneke01
,Clyde Lovellette*,MNL/BOS,1954,1964,3,lovelcl01
,Patrick McCaw,GSW/TOR,2017,2019,3,mccawpa01
,JaVale McGee,GSW/LAL,2017,2020,3,mcgeeja01
,Kevin McHale*,BOS,1981,1986,3,mchalke01
,Willie Naulls,BOS,1964,1966,3,naullwi01
,John Paxson,CHI,1991,1993,3,paxsojo01
,Byron Scott,LAL,1985,1988,3,scottby01
,Brian Shaw,LAL,2000,2002,3,shawbr01
,Paul Silas,BOS/SEA,1974,1979,3,silaspa01
,Dickey Simpkins,CHI,1996,1998,3,simpkdi01
,Whitey Skoog,MNL,1952,1954,3,skoogwh01
,Dwyane Wade,MIA,2006,2013,3,wadedw01
,Bill Wennington,CHI,1996,1998,3,wennibi01
,Scott Williams,CHI,1991,1993,3,willisc01
,James Worthy*,LAL,1985,1988,3,worthja01
